colony,depth,date,reef,score,mortality,C.SH,D.SH,tot.SH,propD,syms,dom,tdom,vis,days,year
112,2,2015-08-11,44,3,0,0.00519573495387156,0.162589407019857,0.167785141973728,0.969033402524491,DC,D,D,not bleached,291,y2
112,2,2015-09-14,44,3,0,0,0.328577403013278,0.328577403013278,1,D,D,D,not bleached,325,y2
112,2,2015-10-01,44,3,0,0.00347756585997029,0.0867318186535122,0.0902093845134825,0.961450065547775,DC,D,D,not bleached,342,y2
112,2,2015-10-21,44,3,0,NA,NA,NA,NA,NA,NA,NA,NA,362,y2
112,2,2015-11-04,44,3,0,0.000287857725646777,0.188855561093755,0.189143418819401,0.998478098114946,DC,D,D,not bleached,376,y2
112,2,2015-12-04,44,NA,NA,0.00647386749636284,0.163278322602478,0.169752190098841,0.961862833742567,DC,D,D,not bleached,406,y2
112,2,2015-12-17,44,3,0,6.03303531484668e-05,0.214902649019869,0.214962979373017,0.999719345380658,DC,D,D,not bleached,419,y2
112,2,2016-01-20,44,3,0,0.00195840322315447,0.0918488311048369,0.0938072343279914,0.979123110949982,DC,D,D,not bleached,453,y2
112,2,2016-02-11,44,3,0,0.00732677258929479,0.648219879831988,0.655546652421283,0.98882341544689,DC,D,D,not bleached,475,y2
112,2,2016-03-31,44,NA,NA,0.00414717186966249,0.0549649281288141,0.0591120999984766,0.929842251082784,DC,D,D,not bleached,524,y2
119,5,2014-10-24,44,1,0,0.0107100627487192,2.07259658742395e-05,0.0107307887145934,0.00193144851002919,CD,C,C,bleached,0,y1
119,5,2014-11-04,44,2,0,0.0132436208863233,0.00903052192217529,0.0222741428084986,0.405426237939434,CD,C,C,bleached,11,y1
119,5,2014-11-24,44,2,0,2.72721045988165,0.0680930878044319,2.79530354768609,0.0243598187612928,CD,C,C,bleached,31,y1
119,5,2014-12-16,44,2,0,0.0318610602721051,0.0115376637709052,0.0433987240430103,0.265852603396147,CD,C,C,bleached,53,y1
119,5,2015-01-14,44,2,0,0.320930471848055,0.000767272081566897,0.321697743929622,0.00238507137847617,CD,C,C,bleached,82,y1
119,5,2015-05-06,44,3,0,0.0532207054126467,0.00878404071360539,0.0620047461262521,0.141667231339349,CD,C,C,bleached,194,y1
119,5,2015-08-11,44,2,0,0.0727829104346265,0.00868327609152197,0.0814661865261485,0.106587486929131,CD,C,C,bleached,291,y2
119,5,2015-09-14,44,2,0,0.029870051864482,0.0700051646544421,0.0998752165189241,0.700926286764822,DC,D,C,bleached,325,y2
119,5,2015-10-01,44,2,0,0.0179676252465185,0.011508193318688,0.0294758185652064,0.390428285926293,CD,C,C,bleached,342,y2
119,5,2015-10-21,44,2,0,NA,NA,NA,NA,NA,NA,NA,NA,362,y2
119,5,2015-11-04,44,3,0,0.196301561344861,0.123707525496006,0.320009086840867,0.386575039844174,CD,C,C,bleached,376,y2
119,5,2015-12-04,44,NA,NA,0.0206823446053828,0.181275413714142,0.201957758319525,0.897590739878087,DC,D,C,bleached,406,y2
119,5,2015-12-17,44,3,0,0.428537557060189,0.444376728495858,0.872914285556047,0.509072581178792,DC,D,C,bleached,419,y2
119,5,2016-01-20,44,2,0,0.016976625788683,0.0318459820401957,0.0488226078288787,0.652279414319993,DC,D,C,bleached,453,y2
119,5,2016-02-11,44,3,0,0.0555158506582653,0.160701485642412,0.216217336300677,0.743240520819924,DC,D,C,bleached,475,y2
119,5,2016-03-31,44,NA,NA,0.00148583903942343,0.026905691042883,0.0283915300823064,0.947666116087579,DC,D,C,bleached,524,y2
12,2,2014-10-24,HIMB,3,0,5.43595699361232e-05,0.0518414223480895,0.0518957819180256,0.998952524310704,DC,D,D,not bleached,0,y1
12,2,2014-11-04,HIMB,3,0,0.000236093360871119,0.126030874864743,0.126266968225614,0.998130204881064,DC,D,D,not bleached,11,y1
12,2,2014-11-24,HIMB,3,0,5.36498464661704e-05,0.0527984077001489,0.0528520575466151,0.998984905243872,DC,D,D,not bleached,31,y1
12,2,2014-12-16,HIMB,3,0,6.72866374928213e-05,0.0885839872822196,0.0886512739197124,0.999240996383721,DC,D,D,not bleached,53,y1
12,2,2015-01-14,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,82,y1
12,2,2015-05-06,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,194,y1
12,2,2015-08-11,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,291,y2
12,2,2015-09-14,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,325,y2
12,2,2015-10-01,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,342,y2
12,2,2015-10-21,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,362,y2
12,2,2015-11-04,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,376,y2
12,2,2015-12-17,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,419,y2
12,2,2016-01-20,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,453,y2
12,2,2016-02-11,HIMB,NA,missing,NA,NA,NA,NA,NA,NA,NA,NA,475,y2
120,5,2014-10-24,44,3,0,0.0965384854169613,0.178141989506942,0.274680474923903,0.648542600475312,DC,D,D,not bleached,0,y1
120,5,2014-11-04,44,3,0,0.0330958120032809,0.104946375123247,0.138042187126528,0.760248568265978,DC,D,D,not bleached,11,y1
